model_id,feature_set,task,split,fragmentation_bin,n,accuracy,macro_f1
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,795,0.9144654088050315,0.8928605403348554
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,2,2103,0.9101283880171184,0.9022796666070871
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,3+,1801,0.928928373126041,0.9283119881382412
llama-3.2-1b,full_prompt_final,gender,random,1,795,0.9949685534591195,0.9933847024364266
llama-3.2-1b,full_prompt_final,gender,random,2,2103,0.983357108892059,0.9818391317918205
llama-3.2-1b,full_prompt_final,gender,random,3+,1801,0.9750138811771238,0.9747674052598495
llama-3.2-1b,full_prompt_final,gender,root-heldout,1,795,0.8754716981132076,0.8513948548501298
llama-3.2-1b,full_prompt_final,gender,root-heldout,2,2103,0.896338563956253,0.8869176352191329
llama-3.2-1b,full_prompt_final,gender,root-heldout,3+,1801,0.8722931704608551,0.8717141122838313
llama-3.2-1b,full_prompt_final,number,lemma-heldout,1,795,0.9132075471698113,0.7691686198930319
llama-3.2-1b,full_prompt_final,number,lemma-heldout,2,2103,0.920114122681883,0.788295390826511
llama-3.2-1b,full_prompt_final,number,lemma-heldout,3+,1801,0.9139367018323153,0.8496420265038592
llama-3.2-1b,full_prompt_final,number,random,1,795,0.9849056603773585,0.9490210328317373
llama-3.2-1b,full_prompt_final,number,random,2,2103,0.9719448407037565,0.9387053249661004
llama-3.2-1b,full_prompt_final,number,random,3+,1801,0.9727928928373126,0.9222638102954294
llama-3.2-1b,full_prompt_final,number,root-heldout,1,795,0.8213836477987422,0.4336316099300737
llama-3.2-1b,full_prompt_final,number,root-heldout,2,2103,0.8854018069424632,0.6871915529921573
llama-3.2-1b,full_prompt_final,number,root-heldout,3+,1801,0.9028317601332593,0.8621468679568235
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,1,795,0.8503144654088051,0.7878452815004738
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,2,2104,0.8212927756653993,0.7827043513447464
llama-3.2-1b,full_prompt_final,pos,lemma-heldout,3+,1802,0.8229744728079911,0.8282753382471967
llama-3.2-1b,full_prompt_final,pos,random,1,795,0.9823899371069182,0.9714135239139319
llama-3.2-1b,full_prompt_final,pos,random,2,2104,0.9491444866920152,0.9343832058328004
llama-3.2-1b,full_prompt_final,pos,random,3+,1802,0.9345172031076582,0.934923433665445
llama-3.2-1b,full_prompt_final,pos,root-heldout,1,795,0.8377358490566038,0.7890489827889384
llama-3.2-1b,full_prompt_final,pos,root-heldout,2,2104,0.8255703422053232,0.7776667587619123
llama-3.2-1b,full_prompt_final,pos,root-heldout,3+,1802,0.8218645948945617,0.8169816102023185
