model_id,feature_set,task,split,fold,pos_stratum,label,precision,recall,f1,support,confusion_matrix_labels,confusion_matrix
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,ADJ,fem,0.9365079365079365,0.9833333333333333,0.959349593495935,60,"[""fem"", ""masc""]","[[59, 1], [4, 87]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,ADJ,masc,0.9886363636363636,0.9560439560439561,0.9720670391061452,91,"[""fem"", ""masc""]","[[59, 1], [4, 87]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,NOUN,fem,0.8883248730964467,0.8495145631067961,0.8684863523573201,206,"[""fem"", ""masc""]","[[175, 31], [22, 409]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,NOUN,masc,0.9295454545454546,0.9489559164733179,0.939150401836969,431,"[""fem"", ""masc""]","[[175, 31], [22, 409]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,VERB,fem,1.0,0.864406779661017,0.9272727272727272,59,"[""fem"", ""masc""]","[[51, 8], [0, 93]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,VERB,masc,0.9207920792079208,1.0,0.9587628865979382,93,"[""fem"", ""masc""]","[[51, 8], [0, 93]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,all,fem,0.9163987138263665,0.8769230769230769,0.8962264150943396,325,"[""fem"", ""masc""]","[[285, 40], [26, 589]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,0,all,masc,0.9364069952305246,0.9577235772357724,0.9469453376205788,615,"[""fem"", ""masc""]","[[285, 40], [26, 589]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,ADJ,fem,0.9850746268656716,0.9705882352941176,0.9777777777777777,68,"[""fem"", ""masc""]","[[66, 2], [1, 115]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,ADJ,masc,0.9829059829059829,0.9913793103448276,0.9871244635193133,116,"[""fem"", ""masc""]","[[66, 2], [1, 115]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,NOUN,fem,0.8837209302325582,0.9156626506024096,0.8994082840236687,166,"[""fem"", ""masc""]","[[152, 14], [20, 396]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,NOUN,masc,0.9658536585365853,0.9519230769230769,0.9588377723970944,416,"[""fem"", ""masc""]","[[152, 14], [20, 396]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,VERB,fem,0.9166666666666666,1.0,0.9565217391304348,66,"[""fem"", ""masc""]","[[66, 0], [6, 102]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,VERB,masc,1.0,0.9444444444444444,0.9714285714285714,108,"[""fem"", ""masc""]","[[66, 0], [6, 102]]"
llama-3.2-1b,full_prompt_final,gender,lemma-heldout,1,all,fem,0.9131832797427653,0.9466666666666667,0.9296235679214403,300,"[""fem"", ""masc""]","[[284, 16], [27, 613]]"
