model,task,split,representation_location,alpha,selected_layer,test_accuracy,test_macro_f1,accuracy_delta_from_alpha_1,macro_f1_delta_from_alpha_1,alpha_1_selected_layer,majority_accuracy,majority_crossing_vs_alpha_1
qwen3-0.6b,pos,lemma-heldout,prompt_final,0.1,12,0.8395324123273114,0.7909564878386949,-0.029755579171094615,-0.040220863211631874,12,0.6886291179596175,False
qwen3-0.6b,pos,lemma-heldout,prompt_final,1.0,12,0.869287991498406,0.8311773510503268,0.0,0.0,12,0.6886291179596175,False
qwen3-0.6b,pos,lemma-heldout,prompt_final,10.0,17,0.900106269925611,0.8742733326054227,0.03081827842720508,0.043095981555095975,12,0.6886291179596175,False
qwen3-0.6b,pos,lemma-heldout,prompt_final,100.0,10,0.9064824654622742,0.8779513735832678,0.03719447396386821,0.04677402253294105,12,0.6886291179596175,False
qwen3-0.6b,gender,lemma-heldout,prompt_final,0.1,24,0.8586609989373007,0.8530421253485982,-0.07120085015940492,-0.0715389209427506,1,0.6323060573857598,False
qwen3-0.6b,gender,lemma-heldout,prompt_final,1.0,1,0.9298618490967057,0.9245810462913489,0.0,0.0,1,0.6323060573857598,False
qwen3-0.6b,gender,lemma-heldout,prompt_final,10.0,3,0.946865037194474,0.9425821788751232,0.01700318809776835,0.018001132583774337,1,0.6323060573857598,False
qwen3-0.6b,gender,lemma-heldout,prompt_final,100.0,3,0.9543039319872476,0.9503353892417687,0.02444208289054195,0.025754342950419895,1,0.6323060573857598,False
qwen3-0.6b,number,lemma-heldout,prompt_final,0.1,17,0.9383634431455898,0.7772372106737432,0.002125398512221044,-0.0040133665231973925,24,0.8395324123273114,False
qwen3-0.6b,number,lemma-heldout,prompt_final,1.0,24,0.9362380446333688,0.7812505771969406,0.0,0.0,24,0.8395324123273114,False
qwen3-0.6b,number,lemma-heldout,prompt_final,10.0,13,0.9415515409139213,0.7816329068941009,0.005313496280552554,0.00038232969716034404,24,0.8395324123273114,False
qwen3-0.6b,number,lemma-heldout,prompt_final,100.0,24,0.953241232731137,0.7191013839058531,0.01700318809776824,-0.06214919329108748,24,0.8395324123273114,False
qwen3-0.6b,pos,root-heldout,prompt_final,0.1,13,0.7215727948990436,0.6667265372004687,-0.0031880977683315104,-0.0027294656398236805,13,0.563230605738576,False
qwen3-0.6b,pos,root-heldout,prompt_final,1.0,13,0.7247608926673751,0.6694560028402924,0.0,0.0,13,0.563230605738576,False
qwen3-0.6b,pos,root-heldout,prompt_final,10.0,9,0.8150903294367694,0.8187682676787507,0.09032943676939431,0.14931226483845828,13,0.563230605738576,False
qwen3-0.6b,pos,root-heldout,prompt_final,100.0,11,0.7853347502656748,0.7822356589583882,0.060573857598299696,0.11277965611809582,13,0.563230605738576,False
qwen3-0.6b,gender,root-heldout,prompt_final,0.1,3,0.7991498405951116,0.7980322082806692,-0.006376195536663132,-0.006283676288168394,3,0.6195536663124336,False
qwen3-0.6b,gender,root-heldout,prompt_final,1.0,3,0.8055260361317748,0.8043158845688376,0.0,0.0,3,0.6195536663124336,False
qwen3-0.6b,gender,root-heldout,prompt_final,10.0,24,0.8799149840595112,0.8739928780077382,0.07438894792773643,0.06967699343890055,3,0.6195536663124336,False
qwen3-0.6b,gender,root-heldout,prompt_final,100.0,5,0.8767268862911796,0.8739770943012839,0.0712008501594048,0.06966120973244627,3,0.6195536663124336,False
qwen3-0.6b,number,root-heldout,prompt_final,0.1,17,0.9341126461211477,0.6650106124842956,0.0010626992561105775,0.09627249784153546,17,0.8756641870350691,False
qwen3-0.6b,number,root-heldout,prompt_final,1.0,17,0.9330499468650372,0.5687381146427601,0.0,0.0,17,0.8756641870350691,False
qwen3-0.6b,number,root-heldout,prompt_final,10.0,19,0.9766206163655685,0.7283067981886879,0.043570669500531345,0.1595686835459278,17,0.8756641870350691,False
qwen3-0.6b,number,root-heldout,prompt_final,100.0,22,0.9309245483528161,0.5730108587251445,-0.002125398512221044,0.004272744082384317,17,0.8756641870350691,False
qwen3-0.6b,pos,lemma-heldout,target_final_subtoken,0.1,18,0.8597236981934112,0.8220938337664201,-0.008501594048884176,-0.011648632441170759,18,0.6886291179596175,False
qwen3-0.6b,pos,lemma-heldout,target_final_subtoken,1.0,18,0.8682252922422954,0.8337424662075908,0.0,0.0,18,0.6886291179596175,False
qwen3-0.6b,pos,lemma-heldout,target_final_subtoken,10.0,19,0.8799149840595112,0.8381663380830556,0.011689691817215797,0.00442387187546478,18,0.6886291179596175,False
qwen3-0.6b,pos,lemma-heldout,target_final_subtoken,100.0,20,0.9043570669500531,0.8751827654217429,0.03613177470775775,0.04144029921415204,18,0.6886291179596175,False
qwen3-0.6b,gender,lemma-heldout,target_final_subtoken,0.1,18,0.8512221041445271,0.8428658670407161,-0.03400637619553659,-0.03513759017622431,17,0.6323060573857598,False
qwen3-0.6b,gender,lemma-heldout,target_final_subtoken,1.0,17,0.8852284803400637,0.8780034572169404,0.0,0.0,17,0.6323060573857598,False
qwen3-0.6b,gender,lemma-heldout,target_final_subtoken,10.0,17,0.8969181721572795,0.8903686247944644,0.011689691817215797,0.012365167577524039,17,0.6323060573857598,False
qwen3-0.6b,gender,lemma-heldout,target_final_subtoken,100.0,17,0.8990435706695006,0.8906992582050446,0.013815090329436841,0.012695800988104189,17,0.6323060573857598,False
qwen3-0.6b,number,lemma-heldout,target_final_subtoken,0.1,5,0.9383634431455898,0.7971589711153279,-0.007438894792773598,-0.04882045634792964,11,0.8395324123273114,False
qwen3-0.6b,number,lemma-heldout,target_final_subtoken,1.0,11,0.9458023379383634,0.8459794274632575,0.0,0.0,11,0.8395324123273114,False
qwen3-0.6b,number,lemma-heldout,target_final_subtoken,10.0,12,0.9458023379383634,0.8436372782722529,0.0,-0.0023421491910046166,11,0.8395324123273114,False
qwen3-0.6b,number,lemma-heldout,target_final_subtoken,100.0,17,0.9702444208289054,0.9008771607125454,0.02444208289054195,0.05489773324928793,11,0.8395324123273114,False
qwen3-0.6b,pos,root-heldout,target_final_subtoken,0.1,11,0.8395324123273114,0.8347165494517889,-0.002125398512221044,-0.003887289989746967,11,0.563230605738576,False
qwen3-0.6b,pos,root-heldout,target_final_subtoken,1.0,11,0.8416578108395324,0.8386038394415358,0.0,0.0,11,0.563230605738576,False
qwen3-0.6b,pos,root-heldout,target_final_subtoken,10.0,14,0.8501594048884166,0.8451819223721387,0.008501594048884176,0.006578082930602913,11,0.563230605738576,False
qwen3-0.6b,pos,root-heldout,target_final_subtoken,100.0,21,0.8990435706695006,0.8994120452834128,0.057385759829968186,0.06080820584187696,11,0.563230605738576,False
qwen3-0.6b,gender,root-heldout,target_final_subtoken,0.1,0,0.8193411264612115,0.8130213008677438,-0.040382571732199724,-0.0410625469994077,17,0.6195536663124336,False
qwen3-0.6b,gender,root-heldout,target_final_subtoken,1.0,17,0.8597236981934112,0.8540838478671515,0.0,0.0,17,0.6195536663124336,False
qwen3-0.6b,gender,root-heldout,target_final_subtoken,10.0,17,0.9086078639744952,0.9039604477399387,0.04888416578108401,0.04987659987278714,17,0.6195536663124336,False
qwen3-0.6b,gender,root-heldout,target_final_subtoken,100.0,23,0.9128586609989373,0.907868468812685,0.0531349628055261,0.05378462094553349,17,0.6195536663124336,False
qwen3-0.6b,number,root-heldout,target_final_subtoken,0.1,16,0.9574920297555791,0.7675804044970379,-0.0010626992561105775,-0.001474120967244863,16,0.8756641870350691,False
qwen3-0.6b,number,root-heldout,target_final_subtoken,1.0,16,0.9585547290116897,0.7690545254642828,0.0,0.0,16,0.8756641870350691,False
qwen3-0.6b,number,root-heldout,target_final_subtoken,10.0,20,0.953241232731137,0.8143825552661457,-0.005313496280552665,0.0453280298018629,16,0.8756641870350691,False
qwen3-0.6b,number,root-heldout,target_final_subtoken,100.0,11,0.9702444208289054,0.7872382293062082,0.011689691817215686,0.01818370384192547,16,0.8756641870350691,False
llama-3.2-1b,pos,lemma-heldout,prompt_final,0.1,6,0.667375132837407,0.635918801963938,-0.08714133900106269,-0.09660870780281994,10,0.6886291179596175,True
llama-3.2-1b,pos,lemma-heldout,prompt_final,1.0,10,0.7545164718384697,0.732527509766758,0.0,0.0,10,0.6886291179596175,False
llama-3.2-1b,pos,lemma-heldout,prompt_final,10.0,10,0.8278427205100957,0.7986796559185624,0.07332624867162596,0.06615214615180443,10,0.6886291179596175,False
llama-3.2-1b,pos,lemma-heldout,prompt_final,100.0,6,0.922422954303932,0.9063073675969852,0.16790648246546225,0.1737798578302272,10,0.6886291179596175,False
llama-3.2-1b,gender,lemma-heldout,prompt_final,0.1,11,0.8108395324123273,0.7982574049449809,-0.07332624867162596,-0.07971465339391437,0,0.6323060573857598,False
llama-3.2-1b,gender,lemma-heldout,prompt_final,1.0,0,0.8841657810839533,0.8779720583388952,0.0,0.0,0,0.6323060573857598,False
llama-3.2-1b,gender,lemma-heldout,prompt_final,10.0,10,0.9404888416578109,0.9352781653467487,0.05632306057385761,0.057306107007853435,0,0.6323060573857598,False
llama-3.2-1b,gender,lemma-heldout,prompt_final,100.0,5,0.9681190223166843,0.9655058651026394,0.08395324123273107,0.08753380676374412,0,0.6323060573857598,False
llama-3.2-1b,number,lemma-heldout,prompt_final,0.1,6,0.8076514346439958,0.5946095062543447,-0.09989373007438884,-0.18737230058712528,7,0.8395324123273114,True
llama-3.2-1b,number,lemma-heldout,prompt_final,1.0,7,0.9075451647183846,0.78198180684147,0.0,0.0,7,0.8395324123273114,False
llama-3.2-1b,number,lemma-heldout,prompt_final,10.0,10,0.9606801275239107,0.8074618506315726,0.0531349628055261,0.025480043790102602,7,0.8395324123273114,False
llama-3.2-1b,number,lemma-heldout,prompt_final,100.0,10,0.9564293304994687,0.8301826427540714,0.04888416578108401,0.04820083591260138,7,0.8395324123273114,False
llama-3.2-1b,pos,root-heldout,prompt_final,0.1,9,0.69394261424017,0.685103890986244,-0.075451647183847,-0.0869487121288619,9,0.563230605738576,False
llama-3.2-1b,pos,root-heldout,prompt_final,1.0,9,0.769394261424017,0.7720526031151059,0.0,0.0,9,0.563230605738576,False
llama-3.2-1b,pos,root-heldout,prompt_final,10.0,7,0.8405951115834219,0.8464595759184936,0.07120085015940492,0.0744069728033877,9,0.563230605738576,False
llama-3.2-1b,pos,root-heldout,prompt_final,100.0,8,0.8129649309245484,0.8115223265261511,0.043570669500531345,0.039469723411045154,9,0.563230605738576,False
llama-3.2-1b,gender,root-heldout,prompt_final,0.1,13,0.6928799149840595,0.692266868239493,-0.11795961742826777,-0.10118823144581501,1,0.6195536663124336,False
llama-3.2-1b,gender,root-heldout,prompt_final,1.0,1,0.8108395324123273,0.793455099685308,0.0,0.0,1,0.6195536663124336,False
llama-3.2-1b,gender,root-heldout,prompt_final,10.0,1,0.8937300743889479,0.8834876925362786,0.0828905419766206,0.09003259285097054,1,0.6195536663124336,False
llama-3.2-1b,gender,root-heldout,prompt_final,100.0,3,0.8777895855472901,0.8749417843403053,0.06695005313496283,0.08148668465499731,1,0.6195536663124336,False
llama-3.2-1b,number,root-heldout,prompt_final,0.1,7,0.8150903294367694,0.5228554723979291,-0.0903294367693942,-0.014503703515121757,6,0.8756641870350691,True
llama-3.2-1b,number,root-heldout,prompt_final,1.0,6,0.9054197662061636,0.5373591759130508,0.0,0.0,6,0.8756641870350691,False
llama-3.2-1b,number,root-heldout,prompt_final,10.0,12,0.8671625929861849,0.5104359925788496,-0.03825717321997868,-0.026923183334201184,6,0.8756641870350691,True
llama-3.2-1b,number,root-heldout,prompt_final,100.0,6,0.9744952178533475,0.7936751623726414,0.06907545164718387,0.25631598645959053,6,0.8756641870350691,False
llama-3.2-1b,pos,lemma-heldout,target_final_subtoken,0.1,7,0.6716259298618491,0.5944064796677037,-0.032943676939426125,-0.036896893103366635,7,0.6886291179596175,True
llama-3.2-1b,pos,lemma-heldout,target_final_subtoken,1.0,7,0.7045696068012752,0.6313033727710703,0.0,0.0,7,0.6886291179596175,False
llama-3.2-1b,pos,lemma-heldout,target_final_subtoken,10.0,8,0.8172157279489904,0.7726613567683591,0.11264612114771522,0.14135798399728883,7,0.6886291179596175,False
llama-3.2-1b,pos,lemma-heldout,target_final_subtoken,100.0,8,0.8820403825717322,0.85363698616702,0.177470775770457,0.2223336133959497,7,0.6886291179596175,False
llama-3.2-1b,gender,lemma-heldout,target_final_subtoken,0.1,12,0.6493092454835282,0.6397864679516327,-0.1168969181721572,-0.11170205600880134,12,0.6323060573857598,False
llama-3.2-1b,gender,lemma-heldout,target_final_subtoken,1.0,12,0.7662061636556854,0.7514885239604341,0.0,0.0,12,0.6323060573857598,False
llama-3.2-1b,gender,lemma-heldout,target_final_subtoken,10.0,7,0.8320935175345378,0.818330889540567,0.06588735387885236,0.0668423655801329,12,0.6323060573857598,False
llama-3.2-1b,gender,lemma-heldout,target_final_subtoken,100.0,13,0.9202975557917109,0.9141399333557996,0.15409139213602552,0.1626514093953655,12,0.6323060573857598,False
llama-3.2-1b,number,lemma-heldout,target_final_subtoken,0.1,14,0.6780021253985122,0.4755194876582303,-0.06269925611052074,-0.05629470665647368,14,0.8395324123273114,False
llama-3.2-1b,number,lemma-heldout,target_final_subtoken,1.0,14,0.740701381509033,0.531814194314704,0.0,0.0,14,0.8395324123273114,False
llama-3.2-1b,number,lemma-heldout,target_final_subtoken,10.0,14,0.9054197662061636,0.819395476971109,0.16471838469713063,0.28758128265640504,14,0.8395324123273114,True
llama-3.2-1b,number,lemma-heldout,target_final_subtoken,100.0,9,0.9723698193411264,0.9056263144350641,0.23166843783209345,0.37381212012036014,14,0.8395324123273114,True
llama-3.2-1b,pos,root-heldout,target_final_subtoken,0.1,3,0.5717321997874601,0.5518414852133106,-0.10201912858661,-0.11696746307355788,9,0.563230605738576,False
llama-3.2-1b,pos,root-heldout,target_final_subtoken,1.0,9,0.6737513283740701,0.6688089482868684,0.0,0.0,9,0.563230605738576,False
llama-3.2-1b,pos,root-heldout,target_final_subtoken,10.0,13,0.8161530286928799,0.8045569837224346,0.14240170031880972,0.13574803543556613,9,0.563230605738576,False
llama-3.2-1b,pos,root-heldout,target_final_subtoken,100.0,15,0.8480340063761955,0.8484752658134532,0.17428267800212538,0.1796663175265848,9,0.563230605738576,False
llama-3.2-1b,gender,root-heldout,target_final_subtoken,0.1,12,0.6950053134962806,0.6763358321198938,-0.05526036131774703,-0.05294308154341976,12,0.6195536663124336,False
llama-3.2-1b,gender,root-heldout,target_final_subtoken,1.0,12,0.7502656748140276,0.7292789136633135,0.0,0.0,12,0.6195536663124336,False
llama-3.2-1b,gender,root-heldout,target_final_subtoken,10.0,12,0.8756641870350691,0.868475093808126,0.12539851222104148,0.1391961801448125,12,0.6195536663124336,False
llama-3.2-1b,gender,root-heldout,target_final_subtoken,100.0,14,0.8947927736450585,0.8884730727099682,0.14452709883103088,0.15919415904665468,12,0.6195536663124336,False
llama-3.2-1b,number,root-heldout,target_final_subtoken,0.1,4,0.7396386822529224,0.4450883264835244,-0.07438894792773643,-0.04481750005664176,4,0.8756641870350691,False
llama-3.2-1b,number,root-heldout,target_final_subtoken,1.0,4,0.8140276301806588,0.4899058265401662,0.0,0.0,4,0.8756641870350691,False
llama-3.2-1b,number,root-heldout,target_final_subtoken,10.0,4,0.8809776833156217,0.5846586882125427,0.06695005313496283,0.09475286167237656,4,0.8756641870350691,True
llama-3.2-1b,number,root-heldout,target_final_subtoken,100.0,14,0.9766206163655685,0.7981646211012273,0.1625929861849097,0.30825879456106114,4,0.8756641870350691,True
